x,p
29.219,10682
29.2485,10682
29.278,10682
29.3076,10682
29.3371,10682
29.3666,10682
29.3961,10682
29.4257,10682
29.4552,10682
29.4847,10682
29.5142,10682
29.5437,10682
29.5733,10682
29.6028,10682
29.6323,10682
29.6618,10682
29.6914,10682
29.7209,10682
29.7504,10682
29.7799,10682
29.8095,10682
29.839,10682
29.8685,10682
29.898,10682
29.9275,10682
29.9571,10682
29.9866,10682
30.0161,10682
30.0456,10682
30.0752,10682
30.1047,10682
30.1342,10682
30.1637,10682
30.1932,10682
30.2228,10682
30.2523,10682
30.2818,10682
30.3113,10682
30.3409,10682
30.3704,10682
30.3999,10682
30.4294,10682
30.459,10682
30.4885,10682
30.518,10682
30.5475,10682
30.577,10682
30.6066,10682
30.6361,10682
30.6656,10682
30.6951,10682
30.7247,10682
30.7542,10682
30.7837,10682
30.8132,10682
30.8428,10682
30.8723,10682
30.9018,10682
30.9313,10682
30.9608,10682
30.9904,10682
31.0199,10682
31.0494,10682
31.0789,10682
31.1085,10682
31.138,10682
31.1675,10682
31.197,10682
31.2266,10682
31.2561,10682
31.2856,10682
31.3151,10682
31.3446,10682
31.3742,10682
31.4037,10682
31.4332,10682
31.4627,10682
31.4923,10682
31.5218,10682
31.5513,10682
31.5808,10682
31.6104,10682
31.6399,10682
31.6694,10682
31.6989,10682
31.7284,10682
31.758,10682
31.7875,10682
31.817,10682
31.8465,10682
31.8761,10682
31.9056,10682
31.9351,10682
31.9646,10682
31.9941,10682
32.0237,10682
32.0532,10682
32.0827,10682
32.1122,10682
32.1418,10682
32.1713,10682
32.2008,10682
32.2303,10682
32.2599,10682
32.2894,10682
32.3189,10682
32.3484,10682
32.3779,10682
32.4075,10682
32.437,10682
32.4665,10682
32.496,10682
32.5256,10682
32.5551,10682
32.5846,10682
32.6141,10682
32.6437,10682
32.6732,10682
32.7027,10682
32.7322,10682
32.7617,10682
32.7913,10682
32.8208,10682
32.8503,10682
32.8798,10682
32.9094,10682
32.9389,10682
32.9684,10682
32.9979,10682
33.0275,10682
33.057,10682
33.0865,10682
33.116,10682
33.1455,10682
33.1751,10682
33.2046,10682
33.2341,10682
33.2636,10682
33.2932,10682
33.3227,10682
33.3522,10682
33.3817,10682
33.4113,10682
33.4408,10682
33.4703,10682
33.4998,10682
33.5293,10682
33.5589,10682
33.5884,10682
33.6179,10682
33.6474,10682
33.677,10682
33.7065,10682
33.736,10682
33.7655,10682
33.795,10682
33.8246,10682
33.8541,10682
33.8836,10682
33.9131,10682
33.9427,10682
33.9722,10682
34.0017,10682
34.0312,10682
34.0608,10682
34.0903,10682
34.1198,10682
34.1493,10682
34.1788,10682
34.2084,10682
34.2379,10682
34.2674,10682
34.2969,10682
34.3265,10682
34.356,10682
34.3855,10682
34.415,10682
34.4446,10682
34.4741,10682
34.5036,10682
34.5331,10682
34.5626,10682
34.5922,10682
34.6217,10682
34.6512,10682
34.6807,10682
34.7103,10682
34.7398,10682
34.7693,10682
34.7988,10682
34.8284,10682
34.8579,10682
34.8874,10682
34.9169,10682
34.9464,10682
34.976,10682
35.0055,10682
35.035,10682
35.0645,10682
35.0941,10682
35.1236,10682
35.1531,10682
35.1826,10682
35.2122,10682
35.2417,10682
35.2712,10682
35.3007,10682
35.3302,10682
35.3598,10682
35.3893,10682
35.4188,10682
35.4483,10682
35.4779,10682
35.5074,10682
35.5369,10682
35.5664,10682
