x,p
0.791089,9183
0.791265,9183
0.791441,9183
0.791617,9183
0.791793,9183
0.791969,9183
0.792145,9183
0.792321,9183
0.792497,9183
0.792673,9183
0.792849,9183
0.793025,9183
0.793201,9183
0.793377,9183
0.793553,9183
0.793729,9183
0.793905,9183
0.794081,9183
0.794257,9183
0.794433,9183
0.794609,9183
0.794785,9183
0.794961,9183
0.795138,9183
0.795314,9183
0.79549,9183
0.795666,9183
0.795842,9183
0.796018,9183
0.796194,9183
0.79637,9183
0.796546,9183
0.796722,9183
0.796898,9183
0.797074,9183
0.79725,9183
0.797426,9183
0.797602,9183
0.797778,9183
0.797954,9183
0.79813,9183
0.798306,9183
0.798482,9183
0.798658,9183
0.798834,9183
0.79901,9183
0.799186,9183
0.799362,9183
0.799538,9183
0.799714,9183
0.79989,9183
0.800066,9183
0.800242,9183
0.800418,9183
0.800594,9183
0.80077,9183
0.800946,9183
0.801122,9183
0.801298,9183
0.801474,9183
0.80165,9183
0.801826,9183
0.802002,9183
0.802178,9183
0.802354,9183
0.80253,9183
0.802706,9183
0.802882,9183
0.803058,9183
0.803234,9183
0.80341,9183
0.803586,9183
0.803762,9183
0.803938,9183
0.804114,9183
0.80429,9183
0.804466,9183
0.804642,9183
0.804818,9183
0.804994,9183
0.805171,9183
0.805347,9183
0.805523,9183
0.805699,9183
0.805875,9183
0.806051,9183
0.806227,9183
0.806403,9183
0.806579,9183
0.806755,9183
0.806931,9183
0.807107,9183
0.807283,9183
0.807459,9183
0.807635,9183
0.807811,9183
0.807987,9183
0.808163,9183
0.808339,9183
0.808515,9183
0.808691,9183
0.808867,9183
0.809043,9183
0.809219,9183
0.809395,9183
0.809571,9183
0.809747,9183
0.809923,9183
0.810099,9183
0.810275,9183
0.810451,9183
0.810627,9183
0.810803,9183
0.810979,9183
0.811155,9183
0.811331,9183
0.811507,9183
0.811683,9183
0.811859,9183
0.812035,9183
0.812211,9183
0.812387,9183
0.812563,9183
0.812739,9183
0.812915,9183
0.813091,9183
0.813267,9183
0.813443,9183
0.813619,9183
0.813795,9183
0.813971,9183
0.814147,9183
0.814323,9183
0.814499,9183
0.814675,9183
0.814851,9183
0.815028,9183
0.815204,9183
0.81538,9183
0.815556,9183
0.815732,9183
0.815908,9183
0.816084,9183
0.81626,9183
0.816436,9183
0.816612,9183
0.816788,9183
0.816964,9183
0.81714,9183
0.817316,9183
0.817492,9183
0.817668,9183
0.817844,9183
0.81802,9183
0.818196,9183
0.818372,9183
0.818548,9183
0.818724,9183
0.8189,9183
0.819076,9183
0.819252,9183
0.819428,9183
0.819604,9183
0.81978,9183
0.819956,9183
0.820132,9183
0.820308,9183
0.820484,9183
0.82066,9183
0.820836,9183
0.821012,9183
0.821188,9183
0.821364,9183
0.82154,9183
0.821716,9183
0.821892,9183
0.822068,9183
0.822244,9183
0.82242,9183
0.822596,9183
0.822772,9183
0.822948,9183
0.823124,9183
0.8233,9183
0.823476,9183
0.823652,9183
0.823828,9183
0.824004,9183
0.82418,9183
0.824356,9183
0.824532,9183
0.824708,9183
0.824884,9183
0.825061,9183
0.825237,9183
0.825413,9183
0.825589,9183
0.825765,9183
0.825941,9183
0.826117,9183
0.826293,9183
0.826469,9183
0.826645,9183
0.826821,9183
0.826997,9183
0.827173,9183
0.827349,9183
0.827525,9183
0.827701,9183
0.827877,9183
0.828053,9183
0.828229,9183
0.828405,9183
0.828581,9183
0.828757,9183
0.828933,9183
0.829109,9183
0.829285,9183
0.829461,9183
0.829637,9183
0.829813,9183
0.829989,9183
0.830165,9183
0.830341,9183
0.830517,9183
0.830693,9183
0.830869,9183
0.831045,9183
0.831221,9183
0.831397,9183
0.831573,9183
0.831749,9183
0.831925,9183
0.832101,9183
0.832277,9183
0.832453,9183
0.832629,9183
0.832805,9183
0.832981,9183
0.833157,9183
0.833333,9183
0.833509,9183
0.833685,9183
0.833861,9183
0.834037,9183
0.834213,9183
0.834389,9183
0.834565,9183
0.834741,9183
0.834917,9183
0.835094,9183
0.83527,9183
0.835446,9183
0.835622,9183.01
0.835798,9183.01
0.835974,9183.01
0.83615,9183.01
0.836326,9183.01
0.836502,9183.01
0.836678,9183.01
0.836854,9183.01
0.83703,9183.01
0.837206,9183.01
0.837382,9183.01
0.837558,9183.01
0.837734,9183.01
0.83791,9183.01
0.838086,9183.01
0.838262,9183.01
0.838438,9183.01
0.838614,9183.01
0.83879,9183
0.838966,9183
0.839142,9183
0.839318,9183
0.839494,9183
0.83967,9183
0.839846,9183
0.840022,9182.99
0.840198,9182.99
0.840374,9182.99
0.84055,9182.98
0.840726,9182.98
0.840902,9182.97
0.841078,9182.97
0.841254,9182.96
0.84143,9182.96
0.841606,9182.95
0.841782,9182.95
0.841958,9182.95
0.842134,9182.94
0.84231,9182.93
0.842486,9182.92
0.842662,9182.91
0.842838,9182.9
0.843014,9182.9
0.84319,9182.89
0.843366,9182.88
0.843542,9182.87
0.843718,9182.86
0.843894,9182.85
0.84407,9182.84
0.844246,9182.83
0.844422,9182.83
0.844598,9182.84
0.844774,9182.84
0.84495,9182.84
0.845127,9182.85
0.845303,9182.86
0.845479,9182.87
0.845655,9182.87
0.845831,9182.88
0.846007,9182.89
0.846183,9182.9
0.846359,9182.91
0.846535,9182.91
0.846711,9183
0.846887,9183.11
0.847063,9183.22
0.847239,9183.33
0.847415,9183.46
0.847591,9183.6
0.847767,9183.73
0.847943,9183.87
0.848119,9184.01
0.848295,9184.14
0.848471,9184.28
0.848647,9184.42
0.848823,9184.55
0.848999,9185.04
0.849175,9185.62
0.849351,9186.19
0.849527,9186.77
0.849703,9187.41
0.849879,9188.06
0.850055,9188.71
0.850231,9189.36
0.850407,9190.01
0.850583,9190.66
0.850759,9191.31
0.850935,9191.96
0.851111,9192.62
0.851287,9193.99
0.851463,9195.48
0.851639,9196.97
0.851815,9198.46
0.851991,9200
0.852167,9201.54
0.852343,9203.08
0.852519,9204.63
0.852695,9206.17
0.852871,9207.71
0.853047,9209.25
0.853223,9210.8
0.853399,9212.34
0.853575,9214.36
0.853751,9216.43
0.853927,9218.5
0.854103,9220.57
0.854279,9222.57
0.854455,9224.58
0.854631,9226.58
0.854807,9228.59
0.854983,9230.6
0.85516,9232.6
0.855336,9234.61
0.855512,9236.61
0.855688,9238.62
0.855864,9240.32
0.85604,9242.02
0.856216,9243.71
0.856392,9245.4
0.856568,9246.98
0.856744,9248.56
0.85692,9250.14
0.857096,9251.72
0.857272,9253.3
0.857448,9254.88
0.857624,9256.46
0.8578,9258.04
0.857976,9259.6
0.858152,9260.54
0.858328,9261.48
0.858504,9262.41
0.85868,9263.34
0.858856,9264.2
0.859032,9265.06
0.859208,9265.92
0.859384,9266.78
0.85956,9267.65
0.859736,9268.51
0.859912,9269.37
0.860088,9270.23
0.860264,9271.05
0.86044,9271.39
0.860616,9271.73
0.860792,9272.07
0.860968,9272.41
0.861144,9272.72
0.86132,9273.03
0.861496,9273.35
0.861672,9273.66
0.861848,9273.97
0.862024,9274.29
0.8622,9274.6
0.862376,9274.91
0.862552,9275.18
0.862728,9275.12
0.862904,9275.06
0.86308,9275
0.863256,9274.94
0.863432,9274.87
0.863608,9274.79
0.863784,9274.72
0.86396,9274.65
0.864136,9274.58
0.864312,9274.51
0.864488,9274.43
0.864664,9274.36
0.86484,9274.24
0.865017,9273.94
0.865193,9273.63
0.865369,9273.33
0.865545,9273.02
0.865721,9272.71
0.865897,9272.4
0.866073,9272.08
0.866249,9271.77
0.866425,9271.46
0.866601,9271.15
0.866777,9270.83
0.866953,9270.52
0.867129,9270.19
0.867305,9269.78
0.867481,9269.38
0.867657,9268.98
0.867833,9268.58
0.868009,9268.18
0.868185,9267.78
0.868361,9267.39
0.868537,9266.99
0.868713,9266.59
0.868889,9266.19
0.869065,9265.79
0.869241,9265.39
0.869417,9265
0.869593,9264.61
0.869769,9264.22
0.869945,9263.84
0.870121,9263.45
0.870297,9263.07
0.870473,9262.69
0.870649,9262.32
0.870825,9261.94
0.871001,9261.56
0.871177,9261.18
0.871353,9260.8
0.871529,9260.42
0.871705,9260.05
0.871881,9259.69
0.872057,9259.33
0.872233,9258.97
0.872409,9258.62
0.872585,9258.27
0.872761,9257.91
0.872937,9257.56
0.873113,9257.21
0.873289,9256.86
0.873465,9256.51
0.873641,9256.16
0.873817,9255.8
0.873993,9255.45
0.874169,9255.1
0.874345,9254.76
0.874521,9254.41
0.874697,9254.06
0.874873,9253.72
0.87505,9253.38
0.875226,9253.04
0.875402,9252.7
0.875578,9252.35
0.875754,9252.01
0.87593,9251.67
0.876106,9251.33
0.876282,9250.98
0.876458,9250.64
0.876634,9250.3
0.87681,9249.96
0.876986,9249.62
0.877162,9249.28
0.877338,9248.94
0.877514,9248.6
0.87769,9248.27
0.877866,9247.93
0.878042,9247.59
0.878218,9247.25
0.878394,9246.92
0.87857,9246.58
0.878746,9246.24
0.878922,9245.9
0.879098,9245.56
0.879274,9245.22
0.87945,9244.88
0.879626,9244.55
0.879802,9244.22
0.879978,9243.88
0.880154,9243.55
0.88033,9243.21
0.880506,9242.88
0.880682,9242.55
0.880858,9242.21
0.881034,9241.87
0.88121,9241.53
0.881386,9241.19
0.881562,9240.85
0.881738,9240.52
0.881914,9240.19
0.88209,9239.86
0.882266,9239.52
0.882442,9239.19
0.882618,9238.86
0.882794,9238.53
0.88297,9238.19
0.883146,9237.86
0.883322,9237.52
0.883498,9237.18
0.883674,9236.84
0.88385,9236.51
0.884026,9236.18
0.884202,9235.85
0.884378,9235.51
0.884554,9235.18
0.88473,9234.85
0.884906,9234.52
0.885083,9234.19
0.885259,9233.86
0.885435,9233.53
0.885611,9233.19
0.885787,9232.86
0.885963,9232.53
0.886139,9232.21
0.886315,9231.88
0.886491,9231.56
0.886667,9231.23
0.886843,9230.91
0.887019,9230.58
0.887195,9230.26
0.887371,9229.93
0.887547,9229.61
0.887723,9229.29
0.887899,9228.97
0.888075,9228.65
0.888251,9228.33
0.888427,9228.01
0.888603,9227.7
0.888779,9227.39
0.888955,9227.07
0.889131,9226.76
0.889307,9226.45
0.889483,9226.13
0.889659,9225.82
0.889835,9225.51
0.890011,9225.19
0.890187,9224.88
0.890363,9224.57
0.890539,9224.26
0.890715,9223.95
0.890891,9223.65
0.891067,9223.34
0.891243,9223.03
0.891419,9222.73
0.891595,9222.42
0.891771,9222.12
0.891947,9221.81
0.892123,9221.51
0.892299,9221.2
0.892475,9220.89
0.892651,9220.57
0.892827,9220.26
0.893003,9219.96
0.893179,9219.66
0.893355,9219.35
0.893531,9219.05
0.893707,9218.74
0.893883,9218.44
0.894059,9218.14
0.894235,9217.83
0.894411,9217.53
0.894587,9217.21
0.894763,9216.9
0.894939,9216.58
0.895116,9216.26
0.895292,9215.95
0.895468,9215.65
0.895644,9215.34
0.89582,9215.03
0.895996,9214.72
0.896172,9214.41
0.896348,9214.1
0.896524,9213.79
0.8967,9213.48
0.896876,9213.16
0.897052,9212.83
0.897228,9212.5
0.897404,9212.18
0.89758,9211.86
0.897756,9211.54
0.897932,9211.22
0.898108,9210.91
0.898284,9210.59
0.89846,9210.27
0.898636,9209.95
0.898812,9209.63
0.898988,9212.96
0.899164,9208.98
0.89934,9208.65
0.899516,9208.31
0.899692,9207.98
0.899868,9207.65
0.900044,9207.32
0.90022,9206.99
0.900396,9206.67
0.900572,9206.34
0.900748,9206.01
0.900924,9205.69
0.9011,9205.36
0.901276,9205.03
0.901452,9204.69
0.901628,9204.34
0.901804,9204
0.90198,9203.66
0.902156,9203.33
0.902332,9202.99
0.902508,9202.66
0.902684,9202.32
0.90286,9201.99
0.903036,9201.65
0.903212,9201.32
0.903388,9200.98
0.903564,9200.65
0.90374,9200.3
0.903916,9199.95
0.904092,9199.61
0.904268,9199.26
0.904444,9198.93
0.90462,9198.59
0.904796,9198.25
0.904972,9197.91
0.905149,9197.58
0.905325,9197.24
0.905501,9196.9
0.905677,9196.56
0.905853,9196.22
0.906029,9195.88
0.906205,9195.53
0.906381,9195.19
0.906557,9194.85
0.906733,9194.51
0.906909,9194.17
0.907085,9193.84
0.907261,9193.5
0.907437,9193.16
0.907613,9192.83
0.907789,9192.49
0.907965,9192.15
0.908141,9191.81
0.908317,9191.46
0.908493,9191.12
0.908669,9190.77
0.908845,9190.42
0.909021,9190.08
0.909197,9189.74
0.909373,9189.4
0.909549,9189.06
0.909725,9188.72
0.909901,9188.37
0.910077,9188.03
0.910253,9187.69
0.910429,9187.34
0.910605,9186.98
0.910781,9186.62
0.910957,9186.26
0.911133,9185.9
0.911309,9185.55
0.911485,9185.19
0.911661,9184.84
0.911837,9184.48
0.912013,9184.13
0.912189,9183.77
0.912365,9183.42
0.912541,9183.06
0.912717,9182.7
0.912893,9182.33
0.913069,9181.96
0.913245,9181.58
0.913421,9181.22
0.913597,9180.85
0.913773,9180.49
0.913949,9180.12
0.914125,9179.76
0.914301,9179.39
0.914477,9179.03
0.914653,9178.66
0.914829,9178.3
0.915006,9177.93
0.915182,9177.56
0.915358,9177.18
0.915534,9176.81
0.91571,9176.44
0.915886,9176.08
0.916062,9175.72
0.916238,9175.35
0.916414,9174.99
0.91659,9174.63
0.916766,9174.26
0.916942,9173.9
0.917118,9173.54
0.917294,9173.17
0.91747,9172.8
0.917646,9172.43
0.917822,9172.06
0.917998,9171.7
0.918174,9171.34
0.91835,9170.98
0.918526,9170.62
0.918702,9170.26
0.918878,9169.9
0.919054,9169.54
0.91923,9169.18
0.919406,9168.83
0.919582,9168.46
0.919758,9168.09
0.919934,9167.72
0.92011,9167.36
0.920286,9166.99
0.920462,9166.63
0.920638,9166.27
0.920814,9165.91
0.92099,9165.55
0.921166,9165.19
0.921342,9164.83
0.921518,9164.47
0.921694,9164.11
0.92187,9163.75
0.922046,9163.37
0.922222,9163
0.922398,9162.63
0.922574,9162.27
0.92275,9161.91
0.922926,9161.54
0.923102,9161.18
0.923278,9160.82
0.923454,9160.46
0.92363,9160.09
0.923806,9159.73
0.923982,9159.37
0.924158,9159.01
0.924334,9158.64
0.92451,9158.28
0.924686,9157.92
0.924862,9157.56
0.925039,9157.21
0.925215,9156.85
0.925391,9156.5
0.925567,9156.14
0.925743,9155.79
0.925919,9155.44
0.926095,9155.08
0.926271,9154.73
0.926447,9154.39
0.926623,9154.05
0.926799,9153.72
0.926975,9153.38
0.927151,9153.05
0.927327,9152.72
0.927503,9152.39
0.927679,9152.07
0.927855,9151.74
0.928031,9151.41
0.928207,9151.08
0.928383,9150.75
0.928559,9150.44
0.928735,9150.14
0.928911,9149.85
0.929087,9149.55
0.929263,9149.26
0.929439,9148.97
0.929615,9148.68
0.929791,9148.39
0.929967,9148.1
0.930143,9147.8
0.930319,9147.51
0.930495,9147.22
0.930671,9146.95
0.930847,9146.7
0.931023,9146.46
0.931199,9146.21
0.931375,9145.97
0.931551,9145.73
0.931727,9145.49
0.931903,9145.24
0.932079,9145
0.932255,9144.76
0.932431,9144.52
0.932607,9144.27
0.932783,9144.03
0.932959,9143.85
0.933135,9143.67
0.933311,9143.49
0.933487,9143.3
0.933663,9143.12
0.933839,9142.94
0.934015,9142.75
0.934191,9142.57
0.934367,9142.39
0.934543,9142.2
0.934719,9142.02
0.934895,9141.84
0.935072,9141.72
0.935248,9141.64
0.935424,9141.55
0.9356,9141.46
0.935776,9141.37
0.935952,9141.29
0.936128,9141.2
0.936304,9141.11
0.93648,9141.02
0.936656,9140.94
0.936832,9140.85
0.937008,9140.76
0.937184,9140.75
0.93736,9140.89
0.937536,9141.02
0.937712,9141.15
0.937888,9141.29
0.938064,9141.43
0.93824,9141.57
0.938416,9141.71
0.938592,9141.86
0.938768,9142
0.938944,9142.14
0.93912,9142.28
0.939296,9142.42
0.939472,9143.18
0.939648,9143.99
0.939824,9144.8
0.94,9145.61
0.940176,9146.47
0.940352,9147.32
0.940528,9148.18
0.940704,9149.03
0.94088,9149.89
0.941056,9150.74
0.941232,9151.6
0.941408,9152.45
0.941584,9153.81
0.94176,9156.02
0.941936,9158.23
0.942112,9160.44
0.942288,9162.68
0.942464,9164.95
