x,p
-0.178398,9183.01
-0.178238,9183.01
-0.178078,9183.01
-0.177918,9183.01
-0.177758,9183.01
-0.177598,9183.01
-0.177438,9183.01
-0.177278,9183.01
-0.177118,9183.01
-0.176958,9183.01
-0.176798,9183.01
-0.176638,9183.01
-0.176478,9183.01
-0.176318,9183.01
-0.176158,9183.01
-0.175998,9183.01
-0.175838,9183.01
-0.175678,9183.01
-0.175518,9183.01
-0.175358,9183.01
-0.175198,9183.01
-0.175038,9183.01
-0.174877,9183.01
-0.174717,9183.01
-0.174557,9183.01
-0.174397,9183.01
-0.174237,9183.01
-0.174077,9183.01
-0.173917,9183.01
-0.173757,9183.01
-0.173597,9183.01
-0.173437,9183.01
-0.173277,9183.01
-0.173117,9183.01
-0.172957,9183.01
-0.172797,9183.01
-0.172637,9183.01
-0.172477,9183.01
-0.172317,9183.01
-0.172157,9183.01
-0.171997,9183.01
-0.171837,9183.01
-0.171677,9183.01
-0.171517,9183.01
-0.171357,9183.01
-0.171197,9183.01
-0.171037,9183.01
-0.170877,9183.01
-0.170717,9183.01
-0.170557,9183.01
-0.170397,9183.01
-0.170237,9183.01
-0.170077,9183.01
-0.169917,9183.01
-0.169757,9183.01
-0.169597,9183.01
-0.169437,9183.01
-0.169277,9183.01
-0.169117,9183.01
-0.168957,9183.01
-0.168797,9183.01
-0.168637,9183.01
-0.168477,9183.01
-0.168317,9183.01
-0.168157,9183.01
-0.167997,9183.01
-0.167837,9183.01
-0.167677,9183.01
-0.167517,9183.01
-0.167357,9183.01
-0.167197,9183.01
-0.167037,9183.01
-0.166877,9183.01
-0.166717,9183.01
-0.166557,9183.01
-0.166397,9183.01
-0.166237,9183.01
-0.166077,9183.01
-0.165917,9183.01
-0.165757,9183.01
-0.165597,9183.01
-0.165437,9183.01
-0.165277,9183.01
-0.165117,9183.01
-0.164956,9183.01
-0.164796,9183.01
-0.164636,9183.01
-0.164476,9183.01
-0.164316,9183.01
-0.164156,9183.01
-0.163996,9183.01
-0.163836,9183.01
-0.163676,9183.01
-0.163516,9183.01
-0.163356,9183.01
-0.163196,9183.01
-0.163036,9183.01
-0.162876,9183.01
-0.162716,9183.01
-0.162556,9183.01
-0.162396,9183.01
-0.162236,9183.01
-0.162076,9183.01
-0.161916,9183.01
-0.161756,9183.01
-0.161596,9183.01
-0.161436,9183.01
-0.161276,9183.01
-0.161116,9183.01
-0.160956,9183.01
-0.160796,9183.01
-0.160636,9183.01
-0.160476,9183.01
-0.160316,9183.01
-0.160156,9183.01
-0.159996,9183.01
-0.159836,9183.01
-0.159676,9183.01
-0.159516,9183.01
-0.159356,9183.01
-0.159196,9183.01
-0.159036,9183.01
-0.158876,9183.01
-0.158716,9183.01
-0.158556,9183.01
-0.158396,9183.01
-0.158236,9183.01
-0.158076,9183.01
-0.157916,9183.01
-0.157756,9183.01
-0.157596,9183.01
-0.157436,9183.01
-0.157276,9183.01
-0.157116,9183.01
-0.156956,9183.01
-0.156796,9183.01
-0.156636,9183.01
-0.156476,9183.01
-0.156316,9183.01
-0.156156,9183.01
-0.155996,9183.01
-0.155836,9183.01
-0.155676,9183.01
-0.155516,9183.01
-0.155356,9183.01
-0.155196,9183.01
-0.155036,9183.01
-0.154875,9183.01
-0.154715,9183.01
-0.154555,9183.01
-0.154395,9183.01
-0.154235,9183.01
-0.154075,9183.01
-0.153915,9183.01
-0.153755,9183.01
-0.153595,9183.01
-0.153435,9183.01
-0.153275,9183.01
-0.153115,9183.01
-0.152955,9183.01
-0.152795,9183.01
-0.152635,9183.01
-0.152475,9183.01
-0.152315,9183.01
-0.152155,9183.01
-0.151995,9183.01
-0.151835,9183.01
-0.151675,9183.01
-0.151515,9183.01
-0.151355,9183.01
-0.151195,9183.01
-0.151035,9183.01
-0.150875,9183.01
-0.150715,9183.01
-0.150555,9183.01
-0.150395,9183.01
-0.150235,9183.01
-0.150075,9183.01
-0.149915,9183.01
-0.149755,9183.01
-0.149595,9183.01
-0.149435,9183.01
-0.149275,9183.02
-0.149115,9183.02
-0.148955,9183.02
-0.148795,9183.02
-0.148635,9183.02
-0.148475,9183.02
-0.148315,9183.02
-0.148155,9183.02
-0.147995,9183.02
-0.147835,9183.02
-0.147675,9183.02
-0.147515,9183.02
-0.147355,9183.02
-0.147195,9183.02
-0.147035,9183.02
-0.146875,9183.02
-0.146715,9183.02
-0.146555,9183.02
-0.146395,9183.02
-0.146235,9183.02
-0.146075,9183.02
-0.145915,9183.02
-0.145755,9183.02
-0.145595,9183.02
-0.145435,9183.02
-0.145275,9183.02
-0.145115,9183.02
-0.144954,9183.02
-0.144794,9183.02
-0.144634,9183.02
-0.144474,9183.02
-0.144314,9183.02
-0.144154,9183.02
-0.143994,9183.02
-0.143834,9183.02
-0.143674,9183.02
-0.143514,9183.02
-0.143354,9183.02
-0.143194,9183.02
-0.143034,9183.02
-0.142874,9183.02
-0.142714,9183.02
-0.142554,9183.02
-0.142394,9183.02
-0.142234,9183.02
-0.142074,9183.02
-0.141914,9183.02
-0.141754,9183.02
-0.141594,9183.02
-0.141434,9183.02
-0.141274,9183.02
-0.141114,9183.02
-0.140954,9183.02
-0.140794,9183.02
-0.140634,9183.02
-0.140474,9183.02
-0.140314,9183.02
-0.140154,9183.02
-0.139994,9183.02
-0.139834,9183.02
-0.139674,9183.02
-0.139514,9183.02
-0.139354,9183.02
-0.139194,9183.02
-0.139034,9183.02
-0.138874,9183.02
-0.138714,9183.02
-0.138554,9183.02
-0.138394,9183.02
-0.138234,9183.02
-0.138074,9183.02
-0.137914,9183.02
-0.137754,9183.02
-0.137594,9183.02
-0.137434,9183.02
-0.137274,9183.02
-0.137114,9183.02
-0.136954,9183.02
-0.136794,9183.02
-0.136634,9183.02
-0.136474,9183.02
-0.136314,9183.02
-0.136154,9183.02
-0.135994,9183.02
-0.135834,9183.02
-0.135674,9183.02
-0.135514,9183.02
-0.135354,9183.02
-0.135194,9183.02
-0.135034,9183.02
-0.134873,9183.02
-0.134713,9183.02
-0.134553,9183.02
-0.134393,9183.02
-0.134233,9183.02
-0.134073,9183.02
-0.133913,9183.02
-0.133753,9183.02
-0.133593,9183.02
-0.133433,9183.02
-0.133273,9183.02
-0.133113,9183.02
-0.132953,9183.02
-0.132793,9183.02
-0.132633,9183.02
-0.132473,9183.02
-0.132313,9183.02
-0.132153,9183.02
-0.131993,9183.02
-0.131833,9183.02
-0.131673,9183.02
-0.131513,9183.02
-0.131353,9183.02
-0.131193,9183.02
-0.131033,9183.02
-0.130873,9183.02
-0.130713,9183.02
-0.130553,9183.02
-0.130393,9183.02
-0.130233,9183.02
-0.130073,9183.02
-0.129913,9183.02
-0.129753,9183.02
-0.129593,9183.02
-0.129433,9183.02
-0.129273,9183.02
-0.129113,9183.02
-0.128953,9183.02
-0.128793,9183.02
-0.128633,9183.02
-0.128473,9183.02
-0.128313,9183.02
-0.128153,9183.02
-0.127993,9183.02
-0.127833,9183.02
-0.127673,9183.02
-0.127513,9183.02
-0.127353,9183.02
-0.127193,9183.02
-0.127033,9183.02
-0.126873,9183.02
-0.126713,9183.02
-0.126553,9183.02
-0.126393,9183.02
-0.126233,9183.02
-0.126073,9183.02
-0.125913,9183.02
-0.125753,9183.02
-0.125593,9183.02
-0.125433,9183.02
-0.125273,9183.02
-0.125113,9183.02
-0.124952,9183.02
-0.124792,9183.02
-0.124632,9183.02
-0.124472,9183.02
-0.124312,9183.02
-0.124152,9183.03
-0.123992,9183.03
-0.123832,9183.03
-0.123672,9183.03
-0.123512,9183.03
-0.123352,9183.03
-0.123192,9183.03
-0.123032,9183.03
